,exercise
982,1 mile run
983,bench press or military press alternate
984,squat jumps
985,incline dumbbell bench press  muscle
986,half kneeling cable chop
987,closegrip barbell bench press
988,leg swings 
989,single leg dumbbell calf raise
990,cable tricep pushdown
991,side clams
992,dumbbell squat
993,dumbbell rdls
994,bench press  week 1
995,squat  70
996,band moto rows
997,standing v bar row to chest
998,rope pushdown
999,seated 12 rep barbell curl
1000,landmine twist
1001,mediumwidegrip pullup
1002,plyometric pushup
1003, ring push ups on swiss ball
1004,deadlifts
1005,stiff deadlift
1006,pec dec or cable crossovers  superset 2
1007,twisting hanging knee raise
1008,kettlebell overhead press
1009,plate arches
1010,handstand push up against wall
1011,hands close triceps push ups
1012,machine curl  50 rep death set
1013,farmers carry
1014,exercise ball leg curl
1015,seated machine reverse fly
1016,single leg reverse hyper 
1017,nautilus duo squat 
1018,russian twist
1019,narrow unilateral lat pull
1020,1b weighted mediumgrip pullups
1021,high rep squats
1022,tricep rope pressdown
1023,position for 2mins
1024,vbar pull ups
1025,overhead cambered bar extensions
1026,single leg bodyweight hip thrust
1027,single stiffleg deadlift
1028,week 3
1029,left leg calf raise
1030,glute ham
1031,9090 hip crossover
1032,dumbbell calf raise  run the rack
1033,1d push up with feet elevated or feet on wall push up
1034,aerobic power battle rope work
1035,toes to bar or hanging knee raise
1036,lateral to front raises
1037,single arm cable curls
1038,giant set box or squat jump bench stepup oneleg calf raise and walking lunge
1039,incline dumbbell chest press
1040,machine chest fly
1041,side crunch
1042,front rack kettlebell walking lunge
1043,rear delt barbell row
1044,pec dec  working sets
1045,banded fly
1046,"2000
dinner"
1047,dumbbell incline row
1048,hamstring curl
1049,wide grip pull up or lat pull down
1050,superset prisoner squat and forward static lunge
1051,box jump superset
1052,alternating hammer curl
1053,lying dumbbell pullover
1054,smith elbows out close grip bench press
1055,seated rows
1056,chest down pause row
1057,leg press  feet high and close
1058,alternating dumbbell bench step
1059,reverse grip dumbbell row
1060,preacher cable curl  burn
1061,tricep rope extension
1062,wide pikes
1063,inverted row
1064,fire hydrant
1065,cable ez bar upright row
1066,rotating mountain climber
1067,rock grip pull ups
1068,superset dumbbell front raise  dumbbell side lateral
1069,smith machine squat
1070,pull ups or one arm dumbbell rows
1071,alternate straight leg lower
1072,floor clean and push press
1073,trap bar 
